Type,M,N,Cond,Norm1/Norm0,Norm2/Norm0,Norm3/Norm0,Norm4/Norm0,Norm5/Norm0,Norm6/Norm0,Norm7/Norm0,Norm8/Norm0,Norm9/Norm0,Norm10/Norm0,Norm11/Norm0,Norm12/Norm0,Norm13/Norm0,Norm14/Norm0,Norm15/Norm0,Norm16/Norm0,Norm17/Norm0,Norm18/Norm0,Norm19/Norm0,Norm20/Norm0,Iter1
3,8192,128,1000,0.287685,0.0974902,0.0304481,0.00959611,0.00262714,0.000735914,0.000237595,7.60E-05,2.43E-05,6.85E-06,2.15E-06,6.42E-07,1.88E-07,4.84E-08,1.55E-08,4.24E-09,1.19E-09,4.01E-10,1.32E-10,3.34E-11,1
4,8192,128,1000,0.18913,0.0323668,0.00469574,0.000801979,0.000129824,2.01E-05,3.04E-06,4.56E-07,8.35E-08,1.26E-08,2.03E-09,3.09E-10,4.90E-11,7.81E-12,1.31E-12,1.79E-13,0,0,0,0,1
1,8192,256,1000,0.159425,0.0261922,0.00473766,0.000879425,0.000141322,2.55E-05,4.42E-06,7.47E-07,1.32E-07,2.39E-08,4.17E-09,7.35E-10,1.29E-10,2.10E-11,3.46E-12,6.22E-13,0,0,0,0,2
2,8192,256,1000,0.479995,0.2581,0.170767,0.124431,0.0894079,0.0629826,0.0428627,0.0320566,0.0234219,0.0170104,0.0126025,0.00814579,0.00595354,0.00444598,0.00303582,0.00205881,0.00152433,0.00119088,0.00104852,0.00121006,15
3,8192,256,1000,0.39157,0.173723,0.0791807,0.035447,0.0154591,0.00625252,0.00274585,0.0011653,0.000541628,0.000233151,0.000101332,4.21E-05,1.98E-05,7.83E-06,3.14E-06,1.32E-06,5.18E-07,2.28E-07,8.80E-08,3.83E-08,2
4,8192,256,1000,0.22028,0.0536016,0.0126216,0.00300474,0.000731884,0.000166081,3.62E-05,8.73E-06,1.87E-06,3.91E-07,8.51E-08,1.87E-08,4.23E-09,9.37E-10,2.04E-10,4.51E-11,1.10E-11,2.53E-12,5.52E-13,0,2
1,8192,512,1000,0.228929,0.0570094,0.0137865,0.00337728,0.000806257,0.000193542,4.75E-05,1.22E-05,2.82E-06,6.43E-07,1.57E-07,4.03E-08,9.49E-09,2.38E-09,5.87E-10,1.40E-10,3.58E-11,9.16E-12,2.20E-12,5.45E-13,2
2,8192,512,1000,0.326327,0.125332,0.0407547,0.0131862,0.0052987,0.00240776,0.00252345,0.00643811,0.0194399,0.049768,0.151849,0.469878,1.38688,1.7854,0.881596,0.301054,0.0925645,0.0304871,0.0104562,0.00313617,-1
3,8192,512,1000,0.491922,0.290953,0.16628,0.0965151,0.0568492,0.0340631,0.0198741,0.0118357,0.0068062,0.00414675,0.00248543,0.00152971,0.000924035,0.000530659,0.000305381,0.000181046,9.91E-05,5.91E-05,3.59E-05,2.15E-05,2
4,8192,512,1000,0.310185,0.100932,0.0326723,0.0108968,0.00345421,0.00114402,0.00036577,0.000120741,4.08E-05,1.34E-05,4.54E-06,1.42E-06,4.74E-07,1.49E-07,4.96E-08,1.60E-08,5.08E-09,1.60E-09,4.83E-10,1.47E-10,2
1,8192,1024,1000,0.296103,0.0986584,0.032028,0.0105946,0.00356703,0.00119078,0.000377286,0.000128091,4.28E-05,1.43E-05,4.84E-06,1.55E-06,5.28E-07,1.76E-07,5.59E-08,1.92E-08,6.44E-09,2.17E-09,7.06E-10,2.44E-10,3
2,8192,1024,1000,0.151524,0.0252101,0.0056408,0.00389515,0.0139246,0.079056,0.492233,3.42681,3.49326,0.902747,0.130919,0.0210613,0.00330333,0.00105942,0.00209313,0.0121573,0.133941,0.852816,1.16452,0.171565,-1
3,8192,1024,1000,0.546036,0.392026,0.284552,0.217386,0.15966,0.117452,0.0886278,0.0661846,0.0515141,0.0400198,0.0303035,0.0229595,0.0173507,0.0130135,0.0104745,0.00808662,0.00636624,0.0047512,0.00360235,0.00267795,3
4,8192,1024,1000,0.386841,0.166076,0.0720485,0.031695,0.0143837,0.00614307,0.00269573,0.0011796,0.000528351,0.000233978,0.000105399,4.84E-05,2.17E-05,9.44E-06,4.27E-06,1.82E-06,7.96E-07,3.50E-07,1.59E-07,6.89E-08,3
1,8192,2048,1000,0.349389,0.150361,0.0649737,0.0281258,0.0123122,0.00553566,0.0024868,0.00111142,0.000502126,0.000228191,0.000102165,4.47E-05,2.04E-05,9.34E-06,4.09E-06,1.82E-06,8.34E-07,3.63E-07,1.59E-07,7.00E-08,3
2,8192,2048,1000,0.0565042,0.00517548,0.00268392,0.016228,0.318895,4.50578,1.29505,0.0697897,0.00352876,0.000869541,0.00367172,0.0468099,1.01878,0.550683,0.0149229,0.000540156,0.000468461,0.00751038,0.000152282,0.311962,-1
3,8192,2048,1000,0.587669,0.438032,0.366043,0.309704,0.270233,0.236043,0.209947,0.189312,0.175741,0.155981,0.141811,0.125259,0.113316,0.102124,0.0938129,0.0816453,0.0746049,0.0678035,0.0601862,0.0553989,3
4,8192,2048,1000,0.456793,0.255543,0.145478,0.0853807,0.0498174,0.0292164,0.0173182,0.0102856,0.00602995,0.0035948,0.00218115,0.00130608,0.000805086,0.000483746,0.000285124,0.000166213,9.85E-05,5.91E-05,3.46E-05,2.02E-05,3
1,8192,4096,1000,0.347947,0.175054,0.0946993,0.0547477,0.0317077,0.0188789,0.0109828,0.00630496,0.00362652,0.00212659,0.00124471,0.000713581,0.000410125,0.000234308,0.00013589,7.78E-05,4.42E-05,2.54E-05,1.43E-05,8.21E-06,3
2,8192,4096,1000,0.034903,0.00962208,0.110556,2.98131,26.8608,0.63956,0.0071766,0.00360157,0.100003,0.00161373,0.0625385,0.00330876,0.000903813,0.0435452,1.21604,0.63952,0.0271443,0.000534331,0.00147269,1.8572,-1
3,8192,4096,1000,0.615396,0.476172,0.383225,0.33809,0.31726,0.289137,0.258967,0.254376,0.243719,0.224264,0.210086,0.200359,0.188355,0.180525,0.177021,0.171426,0.157101,0.157464,0.15088,0.151694,6
4,8192,4096,1000,0.488408,0.318875,0.22231,0.165181,0.12496,0.0944161,0.0737659,0.0564138,0.0448501,0.0344212,0.027341,0.0216808,0.0168354,0.0136519,0.0107187,0.00830405,0.0064834,0.00524158,0.00405288,0.00317045,3
1,8192,8192,1000,2.50E-06,6.02E-07,8.68E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,8192,8192,1000,0.0039924,3.97E-08,5.39E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
3,8192,8192,1000,0.579528,0.44154,0.364016,0.320435,0.297421,0.267208,0.250003,0.238367,0.23028,0.212502,0.201778,0.198906,0.187274,0.18562,0.175394,0.175498,0.165474,0.164006,0.156669,0.155196,-1
4,8192,8192,1000,0.432284,0.275378,0.19929,0.156772,0.129049,0.109871,0.0969412,0.0866823,0.077772,0.0694354,0.063334,0.0585262,0.0547781,0.0521161,0.048559,0.0455013,0.0421807,0.039958,0.0376604,0.0352753,9
1,16384,128,1000,0.0876985,0.00704572,0.000654395,5.87E-05,4.49E-06,3.57E-07,3.48E-08,3.20E-09,2.73E-10,2.22E-11,1.86E-12,1.49E-13,0,0,0,0,0,0,0,0,1
